iter	Logloss
0	0.6905021664
1	0.6875115086
2	0.6851455307
3	0.6827857596
4	0.6804639163
5	0.6781712095
6	0.6758369826
7	0.6738618269
8	0.6716375496
9	0.6697814822
10	0.6676214619
11	0.6658505052
12	0.6639102522
13	0.6616046594
14	0.6593575477
15	0.6578693183
16	0.6560880549
17	0.6542686637
18	0.6523838525
19	0.6505590372
20	0.6490510489
21	0.6473111809
22	0.6456012467
23	0.6439661521
24	0.6423606237
25	0.641220251
26	0.6394443619
27	0.6375534567
28	0.6359544381
29	0.63416805
30	0.6329017237
31	0.6310602509
32	0.629586258
33	0.627989924
34	0.6268717561
35	0.6253713651
36	0.6241799924
37	0.622766126
38	0.6216688069
39	0.6200986713
40	0.6186360924
41	0.6172896323
42	0.6162862871
43	0.6151373289
44	0.6141925558
45	0.6132991141
46	0.6123229921
47	0.6110239647
48	0.6097749429
49	0.6086002686
50	0.6071916582
51	0.6057736037
52	0.6045699916
53	0.6037145847
54	0.6025143548
55	0.6012370148
56	0.6006570663
57	0.599469618
58	0.5983213317
59	0.5972199962
60	0.5958585172
61	0.5950001214
62	0.5939871909
63	0.5930081677
64	0.5921697331
65	0.5908231364
66	0.5900074568
67	0.5889239799
68	0.5879759348
69	0.5873546205
70	0.5865397547
71	0.5853912989
72	0.5847010993
73	0.5839390855
74	0.583239274
75	0.5825227162
76	0.5817408355
77	0.5804024132
78	0.57957289
79	0.5788690887
80	0.5776065996
81	0.5769220224
82	0.5762448966
83	0.5754818115
84	0.5747924312
85	0.5741514424
86	0.5732464139
87	0.5720673859
88	0.571176113
89	0.5703400463
90	0.5697606742
91	0.5688916004
92	0.5681828718
93	0.5677298269
94	0.567076031
95	0.5665566668
96	0.5655684773
97	0.5650226298
98	0.5646456856
99	0.5638936585
100	0.5633209388
101	0.5629449694
102	0.5622740045
103	0.5615385908
104	0.5610136884
105	0.5605385895
106	0.5593854784
107	0.5588605948
108	0.5581513328
109	0.5574732496
110	0.5566420719
111	0.555783057
112	0.5553334702
113	0.5546471452
114	0.5539204689
115	0.5534452536
116	0.5529195272
117	0.5523203324
118	0.5518792175
119	0.5513022041
120	0.5508350402
121	0.550245319
122	0.5498706229
123	0.5494212959
124	0.5488893361
125	0.5484257825
126	0.5479648999
127	0.5473618944
128	0.5469572967
129	0.5462139418
130	0.5457878248
131	0.5451024284
132	0.5445105735
133	0.543834305
134	0.5432286814
135	0.5424682051
136	0.5421482716
137	0.5418002108
138	0.5412399147
139	0.5405315739
140	0.5400688741
141	0.5397003898
142	0.5392039265
143	0.538692719
144	0.5382064144
145	0.5377134843
146	0.5374019639
147	0.5367266518
148	0.5361758963
149	0.535848218
150	0.5353465272
151	0.5348683722
152	0.534511699
153	0.5342397629
154	0.5335486839
155	0.5331171992
156	0.5327402731
157	0.5323988831
158	0.531925247
159	0.531688771
160	0.5309434441
161	0.5307078602
162	0.5303374238
163	0.5298750443
164	0.5294401828
165	0.5291108973
166	0.5285099393
167	0.5279903606
168	0.5274243304
169	0.5269758673
170	0.5265545478
171	0.5265136481
172	0.5259097972
173	0.5254524445
174	0.5250552687
175	0.5246468398
176	0.5242546416
177	0.5238677905
178	0.5235200273
179	0.5229059834
180	0.5223458286
181	0.5218052738
182	0.521447618
183	0.5210224439
184	0.5203312774
185	0.5198430091
186	0.5194710171
187	0.5188194602
188	0.5187303791
189	0.5183739215
190	0.518019846
191	0.5177874925
192	0.517453729
193	0.5168833409
194	0.5166014679
195	0.5161637501
196	0.5155421831
197	0.5151128194
198	0.5146402179
199	0.5141847149
